bhubaneswar,hi,metrics2022-06-29 12:00:00,307.4,घनघोर बादल
2022-06-29 15:00:00,305.06,घनघोर बादल
2022-06-29 18:00:00,302.69,हल्की वर्षा
2022-06-29 21:00:00,301.87,घनघोर बादल
2022-06-30 00:00:00,301.73,हल्की वर्षा
2022-06-30 03:00:00,305.86,हल्की वर्षा
2022-06-30 06:00:00,310.46,घनघोर बादल
2022-06-30 09:00:00,308.23,हल्की वर्षा
2022-06-30 12:00:00,306.69,हल्की वर्षा
2022-06-30 15:00:00,304.85,घनघोर बादल
2022-06-30 18:00:00,303.84,हल्की वर्षा
2022-06-30 21:00:00,302.9,हल्की वर्षा
2022-07-01 00:00:00,302.43,घनघोर बादल
2022-07-01 03:00:00,304.25,हल्की वर्षा
2022-07-01 06:00:00,306.81,घनघोर बादल
2022-07-01 09:00:00,306.74,हल्की वर्षा
2022-07-01 12:00:00,304.75,हल्की वर्षा
2022-07-01 15:00:00,303.47,हल्की वर्षा
2022-07-01 18:00:00,302.24,मध्यम वर्षा
2022-07-01 21:00:00,300.96,मध्यम वर्षा
2022-07-02 00:00:00,298.76,मध्यम वर्षा
2022-07-02 03:00:00,299.39,हल्की वर्षा
2022-07-02 06:00:00,303.89,घनघोर बादल
2022-07-02 09:00:00,304.61,हल्की वर्षा
2022-07-02 12:00:00,302.92,हल्की वर्षा
2022-07-02 15:00:00,301.34,घनघोर बादल
2022-07-02 18:00:00,300.63,घनघोर बादल
2022-07-02 21:00:00,300.55,घनघोर बादल
2022-07-03 00:00:00,299.99,घनघोर बादल
2022-07-03 03:00:00,303.65,घनघोर बादल
2022-07-03 06:00:00,307.02,घनघोर बादल
2022-07-03 09:00:00,306.29,हल्की वर्षा
2022-07-03 12:00:00,303.75,हल्की वर्षा
2022-07-03 15:00:00,302.19,हल्की वर्षा
2022-07-03 18:00:00,301.45,हल्की वर्षा
2022-07-03 21:00:00,300.74,टूटे हुए बादल
2022-07-04 00:00:00,300.28,छितरे हुए बादल
2022-07-04 03:00:00,304.24,कुछ बादल
2022-07-04 06:00:00,307.97,हल्की वर्षा
2022-07-04 09:00:00,307.15,हल्की वर्षा
